# k = 11.000
# t, v0, x0, v1, x1
0.000, 1.000, 0.000, 0.000, -1.000
0.100, 1.000, 0.100, 0.000, -1.000
0.200, 1.000, 0.200, 1.100, -1.000
0.300, 1.000, 0.300, 2.200, -0.890
0.400, 1.000, 0.400, 2.090, -0.670
0.500, 1.000, 0.500, 0.770, -0.461
0.600, 1.000, 0.600, -0.429, -0.384
0.700, 1.000, 0.700, -0.176, -0.427
0.800, 1.000, 0.800, 1.396, -0.445
0.900, 1.000, 0.900, 2.689, -0.305
1.000, 1.000, 1.000, 2.254, -0.036
1.100, 1.000, 1.100, 0.396, 0.189
1.200, 1.000, 1.200, -0.984, 0.229
1.300, 1.000, 1.300, -0.319, 0.131
1.400, 1.000, 1.400, 1.863, 0.099
1.500, 1.000, 1.500, 3.314, 0.285
1.600, 1.000, 1.600, 2.365, 0.616
1.700, 1.000, 1.700, -0.181, 0.853
1.800, 1.000, 1.800, -1.682, 0.835
1.900, 1.000, 1.900, -0.383, 0.667
2.000, 1.000, 2.000, 2.567, 0.628
2.100, 1.000, 2.100, 4.088, 0.885
2.200, 1.000, 2.200, 2.364, 1.294
2.300, 1.000, 2.300, -1.033, 1.530
2.400, 1.000, 2.400, -2.534, 1.427
2.500, 1.000, 2.500, -0.298, 1.174
2.600, 1.000, 2.600, 3.590, 1.144
2.700, 1.000, 2.700, 5.017, 1.503
2.800, 1.000, 2.800, 2.168, 2.005
2.900, 1.000, 2.900, -2.250, 2.221
3.000, 1.000, 3.000, -3.535, 1.996
3.100, 1.000, 3.100, 0.040, 1.643
3.200, 1.000, 3.200, 5.029, 1.647
3.300, 1.000, 3.300, 6.085, 2.150
3.400, 1.000, 3.400, 1.653, 2.758
3.500, 1.000, 3.500, -3.940, 2.924
3.600, 1.000, 3.600, -4.659, 2.530
3.700, 1.000, 3.700, 0.775, 2.064
3.800, 1.000, 3.800, 7.000, 2.141
3.900, 1.000, 3.900, 7.247, 2.841
4.000, 1.000, 4.000, 0.647, 3.566
4.100, 1.000, 4.100, -6.225, 3.631
4.200, 1.000, 4.200, -5.837, 3.008
4.300, 1.000, 4.300, 2.111, 2.424
4.400, 1.000, 4.400, 9.631, 2.636
4.500, 1.000, 4.500, 8.409, 3.599
4.600, 1.000, 4.600, -1.085, 4.440
4.700, 1.000, 4.700, -9.235, 4.331
4.800, 1.000, 4.800, -6.942, 3.408
4.900, 1.000, 4.900, 4.317, 2.713
5.000, 1.000, 5.000, 13.053, 3.145
5.100, 1.000, 5.100, 9.404, 4.450
5.200, 1.000, 5.200, -3.854, 5.391
5.300, 1.000, 5.300, -13.098, 5.005
5.400, 1.000, 5.400, -7.759, 3.696
5.500, 1.000, 5.500, 7.749, 2.920
5.600, 1.000, 5.600, 17.384, 3.695
5.700, 1.000, 5.700, 9.960, 5.433
5.800, 1.000, 5.800, -8.062, 6.429
5.900, 1.000, 5.900, -17.918, 5.623
6.000, 1.000, 6.000, -7.950, 3.831
6.100, 1.000, 6.100, 12.860, 3.036
6.200, 1.000, 6.200, 22.705, 4.322
6.300, 1.000, 6.300, 9.659, 6.592
6.400, 1.000, 6.400, -14.217, 7.558
6.500, 1.000, 6.500, -23.742, 6.137
6.600, 1.000, 6.600, -7.003, 3.762
6.700, 1.000, 6.700, 20.213, 3.062
6.800, 1.000, 6.800, 29.016, 5.083
6.900, 1.000, 6.900, 7.882, 7.985
7.000, 1.000, 7.000, -22.935, 8.773
7.100, 1.000, 7.100, -30.506, 6.480
7.200, 1.000, 7.200, -4.177, 3.429
7.300, 1.000, 7.300, 30.480, 3.011
7.400, 1.000, 7.400, 36.174, 6.059
7.500, 1.000, 7.500, 3.747, 9.677
7.600, 1.000, 7.600, -34.945, 10.052
7.700, 1.000, 7.700, -37.967, 6.557
7.800, 1.000, 7.800, 1.573, 2.760
7.900, 1.000, 7.900, 44.436, 2.918
8.000, 1.000, 8.000, 43.806, 7.361
8.100, 1.000, 8.100, -3.974, 11.742
8.200, 1.000, 8.200, -51.060, 11.344
8.300, 1.000, 8.300, -45.589, 6.238
8.400, 1.000, 8.400, 11.677, 1.680
8.500, 1.000, 8.500, 62.925, 2.847
8.600, 1.000, 8.600, 51.180, 9.140
8.700, 1.000, 8.700, -16.938, 14.258
8.800, 1.000, 8.800, -72.136, 12.564
8.900, 1.000, 8.900, -52.405, 5.350
9.000, 1.000, 9.000, 28.045, 0.110
9.100, 1.000, 9.100, 86.790, 2.914
9.200, 1.000, 9.200, 57.041, 11.593
9.300, 1.000, 9.300, -37.328, 17.298
9.400, 1.000, 9.400, -98.973, 13.565
9.500, 1.000, 9.500, -56.812, 3.667
9.600, 1.000, 9.600, 53.159, -2.014
9.700, 1.000, 9.700, 116.752, 3.302
9.800, 1.000, 9.800, 59.377, 14.977
9.900, 1.000, 9.900, -67.950, 20.915
10.000, 1.000, 10.000, -132.165, 14.120
