# k = 0.100
# t, v0, x0, v1, x1, v2, x2
0.000, 1.000, 0.000, 0.000, -1.000, 0.000, -2.000
0.100, 1.000, 0.100, 0.000, -1.000, 0.000, -2.000
0.200, 1.000, 0.200, 0.010, -0.999, 0.000, -2.000
0.300, 1.000, 0.300, 0.020, -0.997, 0.000, -2.000
0.400, 1.000, 0.400, 0.030, -0.994, 0.000, -2.000
0.500, 1.000, 0.500, 0.039, -0.990, 0.001, -2.000
0.600, 1.000, 0.600, 0.049, -0.985, 0.001, -2.000
0.700, 1.000, 0.700, 0.059, -0.979, 0.001, -2.000
0.800, 1.000, 0.800, 0.068, -0.973, 0.002, -1.999
0.900, 1.000, 0.900, 0.077, -0.965, 0.003, -1.999
1.000, 1.000, 1.000, 0.086, -0.956, 0.003, -1.999
1.100, 1.000, 1.100, 0.096, -0.947, 0.004, -1.998
1.200, 1.000, 1.200, 0.105, -0.936, 0.005, -1.998
1.300, 1.000, 1.300, 0.114, -0.925, 0.006, -1.997
1.400, 1.000, 1.400, 0.122, -0.913, 0.007, -1.997
1.500, 1.000, 1.500, 0.131, -0.899, 0.008, -1.996
1.600, 1.000, 1.600, 0.140, -0.885, 0.010, -1.995
1.700, 1.000, 1.700, 0.149, -0.871, 0.011, -1.994
1.800, 1.000, 1.800, 0.157, -0.855, 0.012, -1.992
1.900, 1.000, 1.900, 0.165, -0.838, 0.014, -1.991
2.000, 1.000, 2.000, 0.174, -0.821, 0.015, -1.990
2.100, 1.000, 2.100, 0.182, -0.803, 0.017, -1.988
2.200, 1.000, 2.200, 0.190, -0.784, 0.019, -1.986
2.300, 1.000, 2.300, 0.198, -0.764, 0.020, -1.984
2.400, 1.000, 2.400, 0.206, -0.743, 0.022, -1.982
2.500, 1.000, 2.500, 0.214, -0.722, 0.024, -1.979
2.600, 1.000, 2.600, 0.222, -0.700, 0.026, -1.977
2.700, 1.000, 2.700, 0.230, -0.677, 0.028, -1.974
2.800, 1.000, 2.800, 0.238, -0.653, 0.030, -1.971
2.900, 1.000, 2.900, 0.245, -0.628, 0.032, -1.968
3.000, 1.000, 3.000, 0.253, -0.603, 0.034, -1.964
3.100, 1.000, 3.100, 0.260, -0.577, 0.036, -1.961
3.200, 1.000, 3.200, 0.268, -0.550, 0.038, -1.957
3.300, 1.000, 3.300, 0.275, -0.523, 0.041, -1.953
3.400, 1.000, 3.400, 0.282, -0.494, 0.043, -1.949
3.500, 1.000, 3.500, 0.289, -0.466, 0.045, -1.944
3.600, 1.000, 3.600, 0.297, -0.436, 0.048, -1.939
3.700, 1.000, 3.700, 0.304, -0.406, 0.050, -1.934
3.800, 1.000, 3.800, 0.311, -0.374, 0.053, -1.929
3.900, 1.000, 3.900, 0.317, -0.343, 0.055, -1.923
4.000, 1.000, 4.000, 0.324, -0.310, 0.058, -1.918
4.100, 1.000, 4.100, 0.331, -0.277, 0.061, -1.912
4.200, 1.000, 4.200, 0.338, -0.243, 0.063, -1.905
4.300, 1.000, 4.300, 0.344, -0.209, 0.066, -1.899
4.400, 1.000, 4.400, 0.351, -0.174, 0.069, -1.892
4.500, 1.000, 4.500, 0.357, -0.138, 0.072, -1.885
4.600, 1.000, 4.600, 0.364, -0.102, 0.075, -1.877
4.700, 1.000, 4.700, 0.370, -0.065, 0.078, -1.869
4.800, 1.000, 4.800, 0.376, -0.027, 0.080, -1.861
4.900, 1.000, 4.900, 0.383, 0.011, 0.083, -1.853
5.000, 1.000, 5.000, 0.389, 0.050, 0.086, -1.844
5.100, 1.000, 5.100, 0.395, 0.090, 0.089, -1.835
5.200, 1.000, 5.200, 0.401, 0.130, 0.092, -1.826
5.300, 1.000, 5.300, 0.407, 0.170, 0.096, -1.817
5.400, 1.000, 5.400, 0.413, 0.212, 0.099, -1.807
5.500, 1.000, 5.500, 0.419, 0.254, 0.102, -1.796
5.600, 1.000, 5.600, 0.425, 0.296, 0.105, -1.786
5.700, 1.000, 5.700, 0.430, 0.339, 0.108, -1.775
5.800, 1.000, 5.800, 0.436, 0.383, 0.111, -1.764
5.900, 1.000, 5.900, 0.442, 0.427, 0.115, -1.753
6.000, 1.000, 6.000, 0.447, 0.472, 0.118, -1.741
6.100, 1.000, 6.100, 0.453, 0.517, 0.121, -1.729
6.200, 1.000, 6.200, 0.458, 0.563, 0.125, -1.716
6.300, 1.000, 6.300, 0.464, 0.609, 0.128, -1.703
6.400, 1.000, 6.400, 0.469, 0.656, 0.131, -1.690
6.500, 1.000, 6.500, 0.474, 0.703, 0.135, -1.677
6.600, 1.000, 6.600, 0.480, 0.751, 0.138, -1.663
6.700, 1.000, 6.700, 0.485, 0.800, 0.141, -1.649
6.800, 1.000, 6.800, 0.490, 0.849, 0.145, -1.634
6.900, 1.000, 6.900, 0.495, 0.898, 0.148, -1.620
7.000, 1.000, 7.000, 0.500, 0.948, 0.152, -1.604
7.100, 1.000, 7.100, 0.505, 0.999, 0.155, -1.589
7.200, 1.000, 7.200, 0.510, 1.050, 0.159, -1.573
7.300, 1.000, 7.300, 0.515, 1.101, 0.162, -1.557
7.400, 1.000, 7.400, 0.520, 1.153, 0.166, -1.540
7.500, 1.000, 7.500, 0.525, 1.206, 0.169, -1.523
7.600, 1.000, 7.600, 0.529, 1.259, 0.173, -1.506
7.700, 1.000, 7.700, 0.534, 1.312, 0.176, -1.488
7.800, 1.000, 7.800, 0.539, 1.366, 0.180, -1.470
7.900, 1.000, 7.900, 0.543, 1.420, 0.184, -1.452
8.000, 1.000, 8.000, 0.548, 1.475, 0.187, -1.433
8.100, 1.000, 8.100, 0.552, 1.530, 0.191, -1.414
8.200, 1.000, 8.200, 0.557, 1.586, 0.194, -1.395
8.300, 1.000, 8.300, 0.561, 1.642, 0.198, -1.375
8.400, 1.000, 8.400, 0.566, 1.699, 0.202, -1.355
8.500, 1.000, 8.500, 0.570, 1.756, 0.205, -1.334
8.600, 1.000, 8.600, 0.574, 1.813, 0.209, -1.313
8.700, 1.000, 8.700, 0.579, 1.871, 0.213, -1.292
8.800, 1.000, 8.800, 0.583, 1.929, 0.216, -1.270
8.900, 1.000, 8.900, 0.587, 1.988, 0.220, -1.248
9.000, 1.000, 9.000, 0.591, 2.047, 0.224, -1.226
9.100, 1.000, 9.100, 0.595, 2.107, 0.227, -1.203
9.200, 1.000, 9.200, 0.599, 2.167, 0.231, -1.180
9.300, 1.000, 9.300, 0.603, 2.227, 0.235, -1.157
9.400, 1.000, 9.400, 0.607, 2.288, 0.238, -1.133
9.500, 1.000, 9.500, 0.611, 2.349, 0.242, -1.109
9.600, 1.000, 9.600, 0.615, 2.410, 0.246, -1.084
9.700, 1.000, 9.700, 0.619, 2.472, 0.249, -1.059
9.800, 1.000, 9.800, 0.623, 2.535, 0.253, -1.034
9.900, 1.000, 9.900, 0.627, 2.597, 0.257, -1.008
10.000, 1.000, 10.000, 0.630, 2.660, 0.261, -0.982
